ST_CODE,PC_NAME,ST_NAME,CAND_NAME,PARTYABBRE,YEAR,PC_NO,PC_TYPE,MONTH,CAND_SEX,TOTVOTPOLL
S06,Gandhinagar,GUJARAT,Lal Krishna Advani (L K Advani),BJP,1999,11,GEN,7,M,453229
S06,Mehsana,GUJARAT,Patel Atmaram Maganbhai,INC,1999,12,GEN,7,M,340445
S06,Patan,GUJARAT,Rashtrapal Pravinchandra Somabhai,INC,1999,13,SC,7,M,246798
S06,Banaskantha,GUJARAT,Chaudhary Haribhai Parthibhai,BJP,1999,14,GEN,7,M,308313
S06,Sabarkantha,GUJARAT,Nisha Amarsinh Chaudhary,INC,1999,15,GEN,7,F,334565
S06,Kapadvanj,GUJARAT,Vaghela Shankarsinh Laxmansinh,INC,1999,16,GEN,7,M,413193
S06,Dohad,GUJARAT,Katara Babubhai Khimabhai,BJP,1999,17,ST,7,M,232288
S06,Godhra,GUJARAT,Solanki Bhupendrasinh Prabhatsinh,BJP,1999,18,GEN,7,M,280684
S06,Kaira,GUJARAT,Dinsha Patel,INC,1999,19,GEN,7,M,258024
S06,Anand,GUJARAT,Patel Dipakbhai Chimanbhai   (Sathi),BJP,1999,20,GEN,7,M,273683
S06,Chhota Udaipur,GUJARAT,Ramsinh Rathawa,BJP,1999,21,ST,7,M,248970
S06,Baroda,GUJARAT,Jayaben Thakkar,BJP,1999,22,GEN,7,F,322758
S06,Broach,GUJARAT,Mansukhbhai Vasava,BJP,1999,23,GEN,7,M,290195
S06,Surat,GUJARAT,Kashiram Rana,BJP,1999,24,GEN,7,M,423773
S06,Mandvi,GUJARAT,Patel Mansinhbhai Kalyanji,BJP,1999,25,ST,7,M,320172
S06,Bulsar,GUJARAT,Manibhai Ramjibhai Chaudhari,BJP,1999,26,ST,7,M,300195
S07,Ambala,HARYANA,Rattan Lal Kataria,BJP,1999,1,SC,7,M,357460
S07,Kurukshetra,HARYANA,Prof Kailasho Devi,INLD,1999,2,GEN,7,F,438701
S07,Karnal,HARYANA,I.D. Swami,BJP,1999,3,GEN,7,M,433733
S07,Sonepat,HARYANA,Kishan Singh Sangwan,BJP,1999,4,GEN,7,M,457056
S07,Rohtak,HARYANA,Inder Singh,INLD,1999,5,GEN,7,M,366926
S07,Faridabad,HARYANA,Ram Chander Bainda,BJP,1999,6,GEN,7,M,367842
S07,Mahendragarh,HARYANA,Dr. Sudha Yadav,BJP,1999,7,GEN,7,F,420706
S07,Bhiwani,HARYANA,Ajay Singh Chautala,INLD,1999,8,GEN,7,M,381255
S07,Hissar,HARYANA,Surender Singh Barwala,INLD,1999,9,GEN,7,M,396540
S07,Sirsa,HARYANA,Dr. Sushil Kumar Indora,INLD,1999,10,SC,7,M,419278
S08,Simla,HIMACHAL PRADESH,Lt. Col. Dhani Ram Shandil,HVC,1999,1,SC,7,M,264002
S08,Mandi,HIMACHAL PRADESH,Maheshwar Singh,BJP,1999,2,GEN,7,M,325929
S08,Kangra,HIMACHAL PRADESH,Shanta Kumar,BJP,1999,3,GEN,7,M,325066
S08,Hamirpur,HIMACHAL PRADESH,Suresh Chandel,BJP,1999,4,GEN,7,M,336172
S10,Bidar,KARNATAKA,Ramchandra Veerappa,BJP,1999,1,SC,7,M,350221
S10,Gulbarga,KARNATAKA,Iqbal Ahemed Saradgi,INC,1999,2,GEN,7,M,352359
S10,Raichur,KARNATAKA,A. Venkatesh Naik,INC,1999,3,GEN,7,M,359946
S10,Koppal,KARNATAKA,H.G.Ramulu,INC,1999,4,GEN,7,M,350599
S10,Bellary,KARNATAKA,Sonia Gandhi,INC,1999,5,GEN,7,F,414650
S10,Davangere,KARNATAKA,G.Mallikarjunappa,BJP,1999,6,GEN,7,M,398969
S10,Chitradurga,KARNATAKA,Shashi Kumar,JD(U),1999,7,GEN,7,M,370793
S10,Tumkur,KARNATAKA,G.S.Basavaraj,INC,1999,8,GEN,7,M,318922
S10,Chikballapur,KARNATAKA,R.L. Jalappa,INC,1999,9,GEN,7,M,422587
S10,Kolar,KARNATAKA,K.H. Muniyappa,INC,1999,10,SC,7,M,321964
S10,Kanakapura,KARNATAKA,M.V.Chandrashekara Murthy,INC,1999,11,GEN,7,M,532910
S10,Bangalore North,KARNATAKA,C.K Jaffar Sharief,INC,1999,12,GEN,7,M,525523
S10,Bangalore South,KARNATAKA,Ananth Kumar,BJP,1999,13,GEN,7,M,410161
S10,Mandya,KARNATAKA,Ambareesh @ Amaranatha .M.H,INC,1999,14,GEN,7,M,418110
S10,Chamarajanagar,KARNATAKA,V.Sreenivasaprasad,JD(U),1999,15,SC,7,M,311547
S10,Mysore,KARNATAKA,Srikantadatta Narasimharaja Wadiyar,INC,1999,16,GEN,7,M,338051
S10,Mangalore,KARNATAKA,V.Dhananjaya Kumar,BJP,1999,17,GEN,7,M,353536
S10,Udupi,KARNATAKA,Vinay Kumar Sorake,INC,1999,18,GEN,7,M,352326
S10,Hassan,KARNATAKA,G.Putta Swamy Gowda,INC,1999,19,GEN,7,M,398344
S10,Chikmagalur,KARNATAKA,D.C.Srikantappa,BJP,1999,20,GEN,7,M,324470
S10,Shimoga,KARNATAKA,S.Bangarappa,INC,1999,21,GEN,7,M,427870
S10,Kanara,KARNATAKA,Alva Margaret,INC,1999,22,GEN,7,F,356246
S10,Dharwad South,KARNATAKA,Prof. I.G. Sanadi,INC,1999,23,GEN,7,M,355523
S10,Dharwad North,KARNATAKA,Vijay Sankeshwar,BJP,1999,24,GEN,7,M,345197
S10,Belgaum,KARNATAKA,Amarsinh Vasantarao Patil,INC,1999,25,GEN,7,M,383444
S10,Chikkodi,KARNATAKA,Jigajinagi Rameshchandappa,JD(U),1999,26,SC,7,M,392450
S10,Bagalkot,KARNATAKA,R.S. Patil,INC,1999,27,GEN,7,M,378488
S10,Bijapur,KARNATAKA,Basangouda Ramangouda Patil(Yatnal),BJP,1999,28,GEN,7,M,348816
S11,Kasaragod,KERALA,T. Govindan,CPM,1999,1,GEN,7,M,423564
S11,Cannanore,KERALA,A.P. Abdullakkutty,CPM,1999,2,GEN,7,M,428390
S11,Badagara,KERALA,A.K. Premajam,CPM,1999,3,GEN,7,F,404355
S11,Calicut,KERALA,K. Muraleedharan,INC,1999,4,GEN,7,M,383425
S11,Manjeri,KERALA,E. Ahamed,MUL,1999,5,GEN,7,M,437563
S11,Ponnani,KERALA,G.M. Banatwalla,MUL,1999,6,GEN,7,M,372572
S11,Palghat,KERALA,N.N.Krishnadas,CPM,1999,7,GEN,7,M,372536
S11,Ottapalam,KERALA,S. Ajayakumar,CPM,1999,8,SC,7,M,359758
S11,Trichur,KERALA,A.C. Jose,INC,1999,9,GEN,7,M,343793
S11,Mukundapuram,KERALA,K. Karunakaran,INC,1999,10,GEN,7,M,397156
