BULSAR (ST) ,Gujarat,MANIBHAI RAMJIBHAI CHAUDHARI ,BJP,1996
CHHOTA UDAIPUR (ST) ,Gujarat,RATHAWA NARANBHAI JEMALABHAI ,INC,1996
DHANDHUKA (SC),Gujarat, VARMA RATILAL KALIDAS,BJP,1996
DOHAD (ST),Gujarat, DAMOR SOMJIBHAI PUNJABHAI,INC,1996
GANDHINAGAR,Gujarat,PATEL VIJAY HARISCHANDRA,BJP,1996
GODHRA,Gujarat, PATEL SHANTILAL PARSOTAMDAS,INC,1996
JAMNAGAR,Gujarat, KORADIA CHANDRESHBHAI VALJIBHAI(C.PATEL),BJP,1996
JUNAGADH,Gujarat, CHIKHALIYA BHAVNABEN DEVARAJBHAI,BJP,1996
KAIRA,Gujarat, DINSHA PATEL,INC,1996
KAPADVANJ,Gujarat, CHAUHAN JAYSINHJI MANSINGJI,BJP,1996
KUTCH ,Gujarat,GADHVI PUSHPADAN SHAMBHUDAN ,BJP,1996
MANDVI (ST),Gujarat, GAMIT CHHITUBHAI DEVJIBHAI,INC,1996
MEHSANA,Gujarat, DR. A.K. PATEL,BJP,1996
PATAN (SC),Gujarat, MAHESHKUMAR MITHABHAI KANODIA,BJP,1996
PORBANDAR,Gujarat, JAVIYA GORDHANBHAI JADAVBHAI,BJP,1996
RAJKOT,Gujarat, DR. KATHIRIYA VALLABHBHAI RAMJIBHAI,BJP,1996
SABARKANTHA,Gujarat, NISHA AMARSINH CHAUDHARY,INC,1996
SURAT,Gujarat, KASHIRAM RANA,BJP,1996
SURENDRANAGAR,Gujarat, SANAT MEHTA,INC,1996
AMBALA (SC) ,Haryana,SURAJ BHAN ,BJP,1996
BHIWANI,Haryana, SURENDER SINGH,HVP,1996
FARIDABAD,Haryana, RAM CHANDER,BJP,1996
HISSAR,Haryana, JAI PARKASH S/O HARIKESH,HVP,1996
KARNAL,Haryana, ISHWAR DAYAL SWAMI,BJP,1996
KURUKSHETRA,Haryana, OM PARKASH JINDAL,HVP,1996
MAHENDRAGARH,Haryana, RAM SINGH,BJP,1996
ROHTAK,Haryana, BHUPENDER,INC,1996
SIRSA (SC) ,Haryana,SELJA ,INC,1996
SONEPAT,Haryana, ARVIND KUMAR,IND,1996
HAMIRPUR ,Himachal Pradesh,MAJOR GENERAL VIKRAM SINGH (RETD) ,INC,1996
KANGRA,Himachal Pradesh,SAT MAHAJAN,INC,1996
MANDI,Himachal Pradesh,SUKH RAM,INC,1996
SIMLA (SC) ,Himachal Pradesh,K D SULTANPURI ,INC,1996
BAGALKOT,Karnataka, METI HULLAPPA YAMANAPPA,JD,1996
BANGALORE NORTH,Karnataka, C NARAYANASWAMY,JD,1996
BANGALORE SOUTH,Karnataka, ANANTH KUMAR,BJP,1996
BELGAUM,Karnataka, KOUJALAGI SHIVANAND HEMAPPA,JD,1996
BELLARY,Karnataka, K C KONDAIAH,INC,1996
CHIKBALLAPUR,Karnataka, R L JALAPPA,JD,1996
CHIKKODI (SC),Karnataka, RATNAMALA DHARESHWAR SAVANOOR,JD,1996
CHIKMAGALUR,Karnataka, B L SHANKAR,JD,1996
CHITRADURGA,Karnataka, P.KODANDARAMAIAH,JD,1996
DAVANGERE,Karnataka, G MALLIKARJUNAPPA,BJP,1996
DHARWAD NORTH,Karnataka, VIJAY SANKESHWAR,BJP,1996
