ST_CODE,ST_NAME,PC_NO,PC_NAME,PC_TYPE,MONTH,YEAR,CAND_NAME,CAND_SEX,PARTYABBRE,TOTVOTPOLL
S06,GUJARAT,13,PATAN,SC,3,1998,KANODIYA MAHESHKUMAR MITHABHAI,M,BJP,293800
S06,GUJARAT,14,BANASKANTHA,GEN,3,1998,CHAUDHARI HARIBHAI PARATHIBHAI,M,BJP,382714
S06,GUJARAT,15,SABARKANTHA,GEN,3,1998,NISHABEN AMARSINHBHAI CHAUDHARI,F,INC,288752
S06,GUJARAT,16,KAPADVANJ,GEN,3,1998,CHAUHAN JAYSINHJI MANSHINGJI,M,BJP,274507
S06,GUJARAT,17,DOHAD,ST,3,1998,DAMOR SOMJIBHAI PUNJABHAI,M,INC,276011
S06,GUJARAT,18,GODHRA,GEN,3,1998,PATEL SHANTILAL PARSHOTAMDAS,M,INC,200168
S06,GUJARAT,19,KAIRA,GEN,3,1998,DINSHA PATEL,M,INC,273372
S06,GUJARAT,20,ANAND,GEN,3,1998,CHAVDA ISHVARBHAI KHODABHAI,M,INC,337265
S06,GUJARAT,21,CHHOTA UDAIPUR,ST,3,1998,NARANBHAI JEMALABHAI RATHAWA,M,INC,279867
S06,GUJARAT,22,BARODA,GEN,3,1998,THAKKAR JAYABEN BHARATKUMAR,F,BJP,387798
S06,GUJARAT,23,BROACH,GEN,3,1998,MANSUKHBHAI VASAVA,M,BJP,263499
S06,GUJARAT,24,SURAT,GEN,3,1998,KASHIRAM RANA,M,BJP,564601
S06,GUJARAT,25,MANDVI,ST,3,1998,GAMIT CHHITUBHAI DEVJIBHAI,M,INC,285905
S06,GUJARAT,26,BULSAR,ST,3,1998,CHAUDHARI MANIBHAI RAMJIBHAI,M,BJP,290312
S07,HARYANA,1,AMBALA,SC,3,1998,AMAN KUMAR NAGRA,M,BSP,273792
S07,HARYANA,2,KURUKSHETRA,GEN,3,1998,KAILASHO  DEVI,F,HLD(R),333387
S07,HARYANA,3,KARNAL,GEN,3,1998,BHAJAN LAL,M,INC,327750
S07,HARYANA,4,SONEPAT,GEN,3,1998,KISHAN SINGH,M,HLD(R),290299
