Constituency,State,MP,Party,Year
SHOLAPUR,Maharashtra, SADUL DHARMANNA MONDAYYA,INC,1990
THANE,Maharashtra, KAPSE RAMCHANDRA GANESH,BJP,1990
WARDHA,Maharashtra, SATHE VASANT PURUSHOTTAM,INC,1990
WASHIM,Maharashtra, DESHMUKH ANANTRAO VITTHALRAO,INC,1990
YAVATMAL,Maharashtra, UTTAMRAO DEORAO PATIL,INC,1990
RAJAPUR ,Maharashtra,MADHU DANDAVATE ,JD,1990
BOMBAY SOUTH CENTRAL ,Maharashtra,VAMANRAO MAHADIK ,IND,1990
BOMBAY NORTH CENTRAL ,Maharashtra,VIDYADHAR SAMBHAJI GOKHALE ,SHS,1990
BOMBAY NORTH EAST MEHTA ,Maharashtra,JAYAWANTI NAVINCHANDRA ,BJP,1990
BOMBAY NORTH WEST ,Maharashtra,SUNIL DUTT ,INC,1990
BOMBAY NORTH ,Maharashtra,RAM NAIK ,BJP,1990
NANDURBAR (ST) ,Maharashtra,GAVIT MANKRAO HODLYA ,INC,1990
KOLHAPUR ,Maharashtra,GAIKWAD UDAYSINGRAO NANASAHEB ,INC,1990
AURANGABAD,Maharashtra, MOROSHWAR SAVE,IND,1990
ASKA,Orissa, ANANTA NARAYAN SINGH DEO,JD,1990
BALASORE,Orissa, SAMARENDRA KUNDU,JD,1990
BERHAMPUR,Orissa, GOPINATH GAJPATHI NARAYAN DEO,INC,1990
BHADRAK (SC),Orissa, MANGARAJ MALIK,JD,1990
BHUBANESWAR,Orissa, SIVAJI PATNAIK,CPM,1990
BOLANGIR,Orissa, BALGOPAL MISHRA,JD,1990
CUTTACK,Orissa, SRIKANTA JENA,JD,1990
DEOGARH,Orissa, RAVI NARAYAN PANI,JD,1990
DHENKANAL,Orissa, BHAJAMAN BEHRA,JD,1990
JAGATSINGHPUR,Orissa, LOKANATH CHOUDHARY,CPI,1990
JAJPUR (SC),Orissa, ANADI CHARAN DAS,JD,1990
KALAHANDI,Orissa, BAHKTA CHARAN DAS,JD,1990
KENDRAPARA,Orissa, RABI RAY,JD,1990
KORAPUT (ST),Orissa, GRIDHAR GAMANGO,INC,1990
NOWRANGPUR (ST),Orissa, KHAGAPATI PRADHANI,INC,1990
PHULBANI (SC),Orissa, NAKUL NAYAK,JD,1990
PURI,Orissa, NILAMANI ROUTRAY,JD,1990
SAMBALPUR,Orissa, BHABANI SHANKAR HOTA,JD,1990
SUNDARGARH (ST),Orissa, DABANANDA AMAT,JD,1990
MAYURBHANJ (ST) ,Orissa,BHAGEY GOBARDHAN ,JD,1990
KEONJHAR (ST) ,Orissa,GOVIND CHANDRA MUNDA ,JD,1990
AMRITSAR,Punjab, KIRPAL SINGH,IND,1990
BHATINDA (SC),Punjab, SUCHA SINGH,SAD(M),1990
FARIDKOT,Punjab, JAGDEV SINGH,SAD(M),1990
HOSHIARPUR,Punjab, KAMAL CHAUDHARY,INC,1990
JULLUNDUR,Punjab, I.K.GUJRAL,JD,1990
LUDHIANA,Punjab, RAJINDER KAUR BULARA,SAD(M),1990
PATIALA,Punjab, ATINDERPAL SINGH,IND,1990
PHILLAUR (SC),Punjab, HARBHAJAN LAKHA,BSP,1990
ROPAR,Punjab, (SC) BIMAL KAUR,SAD(M),1990
SANGRUR,Punjab, RAJDEV SINGH,SAD(M),1990
TARN TARAN,Punjab, SIMARANJIT SINGH MANN,SAD(M),1990
GURDASPUR ,Punjab,SUKHBANS KAUR ,INC,1990
FEROZEPUR ,Punjab,DHIAN SINGH ,IND,1990
AJMER,Rajasthan, RASA SINGH,BJP,1990
ALWAR,Rajasthan, RAMJI LAL YADAV,JD,1990
BANSWARA (ST),Rajasthan, HEERA BHAI,JD,1990
BARMER,Rajasthan, KALYAN SINGH KALVI,JD,1990
BAYANA (SC),Rajasthan, THAN SINGH JATAV,BJP,1990
BHARATPUR,Rajasthan, VISHWENDRA SINGH,JD,1990
BHILWARA,Rajasthan, HAMENDRA SINGH,JD,1990
BIKANER,Rajasthan, SHOPAT SINGH MAKKASSAR,CPM,1990
CHITTORGARH,Rajasthan, MAHENDRA SINGH,BJP,1990
CHURU,Rajasthan, DAULAT RAM SARAN,JD,1990
DAUSA,Rajasthan, NATHU SINGH,BJP,1990
JALORE (SC),Rajasthan, KAILASH MEGHWAL,BJP,1990
JHALAWAR,Rajasthan, VASUNDHARA RAJEY,BJP,1990
JHUNJHUNU,Rajasthan, JAGDEEP JHANKAR,JD,1990
JODHPUR,Rajasthan, JASWANT SINGH S/O SARDAR SINGH,BJP,1990
KOTA,Rajasthan, DAU DAYAL JOSHI,BJP,1990
PALI,Rajasthan, GUMANMALL LODHA,BJP,1990
SALUMBER (ST),Rajasthan, NAND LAL MEENA,BJP,1990
SIKAR,Rajasthan, DEVI LAL,JD,1990
TONK (SC),Rajasthan, GOPAL PACHERWAL,JD,1990
UDAIPUR,Rajasthan, GULAB CHAN KATARIA,BJP,1990
GANGANAGAR (SC) ,Rajasthan,BEGA RAM ,JD,1990
JAIPUR ,Rajasthan,GIRDHARI LAL BHARGAVA ,BJP,1990
SAWAI MADHOPUR (ST) ,Rajasthan,KIRORI LAL ,BJP,1990
NAGAUR ,Rajasthan,NATHU RAM MIRDHA ,JD,1990
ARAKKONAM,Tamil Nadu, R. JEEVARATHINAM,INC,1990
CHENGALPATTU,Tamil Nadu, KANCHEE PANEER,ADK,1990
CHIDAMBARAM (SC),Tamil Nadu, P. VALLALPERUMAN,INC,1990
COIMBATORE,Tamil Nadu, C. K. KUPPUSAMY,INC,1990
CUDDALORE,Tamil Nadu, P. R. S. VENKATESAN,INC,1990
DHARMAPURI,Tamil Nadu, M. G. SEKHAR,ADK,1990
DINDIGUL,Tamil Nadu, C. SRINIVASAN,ADK,1990
GOBICHETTIPALAYAM,Tamil Nadu,P. G. NARAYANAN,ADK,1990
KARUR,Tamil Nadu,M. THAMBITHURAI,ADK,1990
KRISHNAGIRI,Tamil Nadu,K. RAMAMOORTHY,INC,1990
MADRAS CENTRAL,Tamil Nadu, ANBARASU ERA,INC,1990
MADRAS SOUTH,Tamil Nadu, VYJAYANTIMALA BALI,INC,1990
MADURAI,Tamil Nadu, A.G.S. RAM BABU,INC,1990
MAYILADUTURAI,Tamil Nadu, PAKEER MOHAMED HAJEE E.S.M,INC,1990
NAGAPATTINAM (SC),Tamil Nadu, M. SELVARASU,CPI,1990
NILGIRIS,Tamil Nadu, R. PRABHU,INC,1990
PERAMBALUR (SC),Tamil Nadu, A. ASOKARAJ,ADK,1990
PERIYAKULAM,Tamil Nadu, R. MOTHIAH,ADK,1990
POLLACHI (SC),Tamil Nadu, B. RAJA RAVI VARMA,ADK,1990
PUDUKKOTTAI,Tamil Nadu,N. SUNDARAJA,INC,1990
RAMANATHAPURAM,Tamil Nadu,  V. AJESHWARAN,INC,1990
RASIPURAM (SC),Tamil Nadu, B. DEVARAJAN,INC,1990
SALEM,Tamil Nadu, RANGARAJAN KUMARMANGALAM,INC,1990
SIVAGANGA,Tamil Nadu, P. CHIDAMBARAM,INC,1990
SIVAKASI,Tamil Nadu, K.KALIMUTHU,ADK,1990
SRIPERUMBUDUR (SC),Tamil Nadu, MARAGATHAM CHANDRASEKHAR,INC,1990
TENKASI (SC),Tamil Nadu, M.ARUNACHALAM,INC,1990
THANJAVUR,Tamil Nadu, S. SINGRAVADIVEL,INC,1990
TINDIVANAM,Tamil Nadu, R. ERAMADASS,INC,1990
TIRUCHENDUR,Tamil Nadu, DHANUSKODI ATHITHAN R.,INC,1990
TIRUCHENGODE,Tamil Nadu, K. C. PALANISAMY,ADK,1990
TIRUCHIRAPPALLI,Tamil Nadu, L.ADAIKALARAJ,INC,1990
TIRUNELVELI,Tamil Nadu, JANARTANAN,ADK,1990
TIRUPPATTUR,Tamil Nadu, A. JAYAMOHAN,INC,1990
VANDAVASI,Tamil Nadu, L. BALARAMAN,INC,1990
VELLORE,Tamil Nadu, A. K. A. ABDUL SAMAD,INC,1990
MADRAS NORTH ,Tamil Nadu,D. PANDIAN ,INC,1990
PALANI  ,Tamil Nadu,SENAPATHI GOUNDER A.,INC,1990
NAGERCOIL ,Tamil Nadu,N.DENNIS ,INC,1990
AGRA,Uttar Pradesh, AJAY SINGH,JD,1990
AKBARPUR (SC),Uttar Pradesh, RAM AWADH,JD,1990
ALIGARH,Uttar Pradesh, SATYA PAL MALIK,JD,1990
ALLAHABAD,Uttar Pradesh, JANESHWAR MISHRA,JD,1990
ALMORA,Uttar Pradesh, HARISH CHANDRA SINGH RAWAT,INC,1990
AMETHI,Uttar Pradesh, RAJIV GANDHI,INC,1990
AMROHA,Uttar Pradesh, HAR GOVIND,JD,1990
AONLA,Uttar Pradesh, RAJ VEER SINGH,BJP,1990
AZAMGARH,Uttar Pradesh, RAM KISHANA,BSP,1990
BAGHPAT,Uttar Pradesh, AJEET SINGH,JD,1990
BAHRAICH,Uttar Pradesh, ARIF MOHD. KHAN,JD,1990
BALLIA,Uttar Pradesh, CHANDRA SHEKHAR,JD,1990
BALRAMPUR,Uttar Pradesh, FASIURAAHMANALIYAS MUNNAN KHAN,IND,1990
BANDA,Uttar Pradesh, RAM SAJIWAN,CPI,1990
BANSGAON (SC),Uttar Pradesh, MAHABIR PRASAD,INC,1990
BAREILLY,Uttar Pradesh, SANTOSH KUMAR GANGWAR,BJP,1990
BASTI (SC),Uttar Pradesh, KALPA NATH SONAKAR,JD,1990
BIJNOR (SC),Uttar Pradesh, MAYAWATI,BSP,1990
BILHAUR,Uttar Pradesh, ARUN KUMAR NEHRU,JD,1990
BUDAUN,Uttar Pradesh, SHARAD YADAV,JD,1990
BULANDSHAHR,Uttar Pradesh, SARVAR HUSAIN,JD,1990
CHAIL,Uttar Pradesh, (SC) RAM NIHOR RAKESH,INC,1990
CHANDAULI,Uttar Pradesh, KAILASH NATH SINGH YADAV,JD,1990
DEORIA,Uttar Pradesh, RAJMANGAL,JD,1990
DOMARIAGANJ,Uttar Pradesh, BRIJ BHUSHAN TIWARI,JD,1990
ETAH,Uttar Pradesh, MAHADEEPK SINGH,BJP,1990
ETAWAH,Uttar Pradesh, RAM SINGH SHAKYA,JD,1990
FAIZABAD,Uttar Pradesh, MITRA SEN,CPI,1990
FATEHPUR,Uttar Pradesh, VISHWANATH PRATAP,JD,1990
FIROZABAD (SC),Uttar Pradesh, RAMJI LAL SUMAN,JD,1990
GARHWAL,Uttar Pradesh, CHANDRA MOHAN,JD,1990
GHATAMPUR (SC),Uttar Pradesh, KESHARI LAL,JD,1990
GHAZIPUR,Uttar Pradesh, JAGDISH,IND,1990
GHOSI,Uttar Pradesh, KALP NATH,INC,1990
GONDA,Uttar Pradesh, ANAND SINGH ALIAS ANNU BHAIYA,INC,1990
GORAKHPUR,Uttar Pradesh, AVEDYA NATH,HMS,1990
HAMIRPUR,Uttar Pradesh, GANGA CHARAN,JD,1990
HAPUR,Uttar Pradesh, K.C.TYAGI  (KISHAN CHAND),JD,1990
HARDOI (SC),Uttar Pradesh, PARMAI LAL,JD,1990
HATHRAS (SC),Uttar Pradesh, BANGALI SINGH,JD,1990
JALAUN (SC),Uttar Pradesh, RAM SEWAK BHATIYA,JD,1990
JALESAR,Uttar Pradesh, CH. MULTAN SIGNH,JD,1990
JAUNPUR,Uttar Pradesh, RAJA YADVENDRA DUTTA,BJP,1990
JHANSI,Uttar Pradesh, RAJENDRA AGNIHOTRI,BJP,1990
KAIRANA,Uttar Pradesh, HAR PAL,JD,1990
KAISERGANJ,Uttar Pradesh, RUDRA SEN CHAUDHARY,BJP,1990
KANNAUJ,Uttar Pradesh, CHHOTEY SINGH YADAV,JD,1990
KANPUR,Uttar Pradesh, SUBHASHINI ALI,CPM,1990
KHALILABAD,Uttar Pradesh, RAM PRASAD CHAUDHARY,JD,1990
KHERI,Uttar Pradesh, USHA VERMA,INC,1990
KHURJA (SC),Uttar Pradesh, BHAGWAN DASS,JD,1990
LALGANJ (SC),Uttar Pradesh, RAM DHAN,JD,1990
LUCKNOW,Uttar Pradesh, MANDHATA SINGH,JD,1990
MACHHLISHAHR,Uttar Pradesh, SHIV SHARAN VERMA,JD,1990
MAHARAJGANJ,Uttar Pradesh, HARSH VARDHAN,JD,1990
MAINPURI,Uttar Pradesh, UDAI PRATAP SINGH,JD,1990
MATHURA,Uttar Pradesh, MANVENDRA SINGH,JD,1990
MEERUT,Uttar Pradesh, HARISH PAL,JD,1990
MIRZAPUR,Uttar Pradesh, YUSA BEG,JD,1990
MISRIKH (SC),Uttar Pradesh, RAM LAL RAHI,INC,1990
MOHANLALGANJ (SC),Uttar Pradesh, SARJU PRASAD SAROJ,JD,1990
MORADABAD,Uttar Pradesh, GHULAM MOHD. KHAN HAJI,JD,1990
MUZAFFARNAGAR,Uttar Pradesh, MUFTI MOHAMMAD SAYEED,JD,1990
NAINITAL,Uttar Pradesh, MAHENDRA SINGH PAL,JD,1990
PADRAUNA,Uttar Pradesh, BALESHAR,JD,1990
PHULPUR,Uttar Pradesh, RAM PUJAN PATEL,JD,1990
PILIBHIT,Uttar Pradesh, MANEKA GANDHI,JD,1990
PRATAPGARH,Uttar Pradesh, RAJA DINESH SINGH,INC,1990
RAMPUR,Uttar Pradesh, ZULFIQAR ALI KHAN,INC,1990
ROBERTSGANJ (SC),Uttar Pradesh, SUBEDAR,BJP,1990
SAHARANPUR,Uttar Pradesh, RASHID MASOOD,JD,1990
SAIDPUR (SC),Uttar Pradesh, RAM RAGAR,BJP,1990
SALEMPUR,Uttar Pradesh, HARI KEWAL,JD,1990
SAMBHAL,Uttar Pradesh, S.P.YADAVA,JD,1990
SHAHABAD,Uttar Pradesh, DHARAMGAJ SINGH,INC,1990
SHAHJAHANPUR,Uttar Pradesh, SATAY PAL SINGH,JD,1990
SITAPUR,Uttar Pradesh, RAJENDRA KUMARI BAJPAI,INC,1990
SULTANPUR,Uttar Pradesh, RAM SINGH,JD,1990
UNNAO,Uttar Pradesh, ANWAR AHMAD,JD,1990
VARANASI,Uttar Pradesh, ANIL SHASTRI,JD,1990
TEHRI GARHWAL ,Uttar Pradesh,BRAHM DUTT ,INC,1990
RAE BARELI ,Uttar Pradesh,SHEILA KAUL ,INC,1990
BARA BANKI (SC) ,Uttar Pradesh,RAM SAGAR,JD,1990
FARRUKHABAD ,Uttar Pradesh,SANTOSH BHARTIYA ,JD,1990
HARDWAR (SC) ,Uttar Pradesh,JAGPAL SINGH,INC,1990
ASANSOL,West Bengal, HARADHAN ROY,CPM,1990
BALURGHAT (SC),West Bengal, PALAS BARMAN,RSP,1990
BANKURA,West Bengal, BASUDEB ACHARIA,CPM,1990
BARASAT,West Bengal, CHITTA BASU,FBL,1990
BARRACKPORE,West Bengal, TARIT BARAN TOPDER,CPM,1990
BOLPUR,West Bengal, CHATTERJEE SOMNATH,CPM,1990
BURDWAN,West Bengal, SUDHIR RAY,CPM,1990
CALCUTTA SOUTH,West Bengal, BIPLAB DASGUPTA,CPM,1990
CONTAI,West Bengal, SUDHIR GIRI,CPM,1990
DARJEELING,West Bengal, INDERJEET,GNLF,1990
DIAMOND HARBOUR,West Bengal, AMAL DATTA,CPM,1990
DUM DUM,West Bengal, NIRMAL KANTI CHATTERJEE,CPM,1990
DURGAPUR (SC),West Bengal, PURNA CHANDRA MALIK,CPM,1990
HOOGHLY,West Bengal, RUPCHAND PAL,CPM,1990
HOWRAH,West Bengal, SUSHANTA CHAKARBORTY,CPM,1990
JADAVPUR,West Bengal, MALINI BHATTACHARYA,CPM,1990
JALPAIGURI,West Bengal, MANIK SANYAL,CPM,1990
JANGIPUR,West Bengal, ABEDIN ZAINAL,CPM,1990
JHARGRAM (ST),West Bengal, MATILAL HANSDA,CPM,1990
JOYNAGAR (SC),West Bengal, SANAT KUMAR MANDAL,RSP,1990
KATWA,West Bengal, SAIFUDDIN CHAUDHURY,CPM,1990
KRISHNAGAR,West Bengal, AJOY MUKHERJEE,CPM,1990
MALDA,West Bengal, ABUL BARKAT ATAUL GHANI KHAN CHOUDHURY,INC,1990
MATHURAPUR (SC),West Bengal, RADHIKARANJAN PRAMANIK,CPM,1990
MIDNAPORE,West Bengal, INDRAJIT GUPTA,CPI,1990
MURSHIDABAD,West Bengal, MASUDAL HOSSAIN SYED,CPM,1990
NABADWIP (SC),West Bengal, ASIM BALA,CPM,1990
PANSKURA,West Bengal, GITA MUKHERJEE,CPI,1990
PURULIA,West Bengal, CHITTA RANJAN MAHATA,FBL,1990
RAIGANJ,West Bengal, GOLAM YAZDANI,INC,1990
TAMLUK,West Bengal, SATYAGOPAL MISTRA,CPM,1990
ULUBERIA,West Bengal, HANAN MOLLAH,CPM,1990
VISHNUPUR (SC),West Bengal, SUKHENDU KHAN,CPM,1990
COOCH BEHAR (SC) ,West Bengal,AMAR ROY PRADHAN ,FBL,1990
ALIPURDUARS (ST) ,West Bengal,PIUS TIRKEY ,RSP,1990
BERHAMPORE ,West Bengal,MANI BHATTACHARYA ,RSP,1990
BASIRHAT ,West Bengal,MONORANJAN SUR ,CPI,1990
CALCUTTA NORTH WEST ,West Bengal,DEBI PRASAD PAL ,INC,1990
CALCUTTA NORTH EAST ,West Bengal,AJIT KUMAR PANJA ,INC,1990
SERAMPORE ,West Bengal,SUDARSAN RAY CHOWDHURI ,CPM,1990
ARAMBAGH ,West Bengal,ANIL BASU ,CPM,1990
BIRBHUM (SC) ,West Bengal,DOME RAMCHANDRA  ,CPM,1990
