Constituency,State,MP,Party,Year,,,,,,,,,,,
ERANDOL,Maharashtra, PATIL VIJAY NAVAL,INC,1991,,,,,,,,,,,
HINGOLI,Maharashtra, GUNDEWAR VILASRAO NAGNATHRAO,SHS,1991,,,,,,,,,,,
ICHALKARANJI,Maharashtra, MANE BALASO ALIAS RAJARAM SHANKARRAO,INC,1991,,,,,,,,,,,
JALGAON,Maharashtra, GUNAVANT RAMBHAU SARODA,BJP,1991,,,,,,,,,,,
JALNA,Maharashtra, ANKUSHRAO TOPE,INC,1991,,,,,,,,,,,
KARAD,Maharashtra, CHAVAN PRITHVIRAJ DAJISHAHEB,INC,1991,,,,,,,,,,,
KHED,Maharashtra, NAVALE VIDURA VITHOBA,INC,1991,,,,,,,,,,,
KOLABA,Maharashtra, A.R. ANTULAY,INC,1991,,,,,,,,,,,
KOLHAPUR ,Maharashtra,GAIKWAD UDAYSINGRAO NANASAHEB ,INC,1991,,,,,,,,,,,
KOPARGAON,Maharashtra, KALE SHANKARRAO DEORAM,INC,1991,,,,,,,,,,,
LATUR ,Maharashtra,PATIL SHIVRAJ VISHWANATH ,INC,1991,,,,,,,,,,,
MALEGAON (ST),Maharashtra, KAHANDOLE ZAMRU MANGLU,INC,1991,,,,,,,,,,,
NAGPUR,Maharashtra, MEGHE DATTAJI RAGHOBAJI,INC,1991,,,,,,,,,,,
NANDED,Maharashtra, SURYAKANTS PATIL (W),INC,1991,,,,,,,,,,,
NANDURBAR (ST),Maharashtra, GAVIT MANIKRAO HODALYA,INC,1991,,,,,,,,,,,
NASHIK,Maharashtra, PAWAR VASANT NIWRUTTI,INC,1991,,,,,,,,,,,
OSMANABAD (SC),Maharashtra, KAMBLE ARVIND TULSHIRAM,INC,1991,,,,,,,,,,,
PANDHARPUR (SC),Maharashtra, THORAT SANDIPAN BHAGWAN,INC,1991,,,,,,,,,,,
PARBHANI,Maharashtra, DESHMUKH ASHOKRAO ANANDRAO,SHS,1991,,,,,,,,,,,
PUNE,Maharashtra, ANNA JOSHI,BJP,1991,,,,,,,,,,,
RAJAPUR ,Maharashtra,SUDHIR SAWANT ,INC,1991,,,,,,,,,,,
RAMTEK,Maharashtra, BHONSLE TEJSINGHARAO LAXMANRAO,INC,1991,,,,,,,,,,,
RATNAGIRI,Maharashtra, GOVINDRAM NIKAM,INC,1991,,,,,,,,,,,
SANGLI,Maharashtra, PATIL PRAKASHBAPU VASANTRAO,INC,1991,,,,,,,,,,,
SATARA,Maharashtra, BHOSALE PRATAPRAO BABURAO,INC,1991,,,,,,,,,,,
SHOLAPUR,Maharashtra, SADUL DHARMANNA MONDAYYA,INC,1991,,,,,,,,,,,
THANE,Maharashtra, KAPSE RAMCHANDRA GANESH,BJP,1991,,,,,,,,,,,
WARDHA,Maharashtra, GHANGARE RAMCHANDRA MAROTRAO,CPM,1991,,,,,,,,,,,
WASHIM,Maharashtra, ANANTRAO VITTHALRAO DESHMUKH,INC,1991,,,,,,,,,,,
YAVATMAL,Maharashtra, UTTAMRAO DEORAO PATIL,INC,1991,,,,,,,,,,,
ASKA,Orissa, RAMACHANDRA RATH,INC,1991,,,,,,,,,,,
BALASORE,Orissa, KARTIKESWAR PATRA,INC,1991,,,,,,,,,,,
BERHAMPUR,Orissa, GOPINATH GAJAPATHI NARYANDEO,INC,1991,,,,,,,,,,,
BHADRAK (SC),Orissa, ARJUN CHARAN SETHI,JD,1991,,,,,,,,,,,
BHUBANESWAR,Orissa, SHIVAJI PATNAIK,CPM,1991,,,,,,,,,,,
BOLANGIR,Orissa, SARAT CHANDRA PATTANAYAK,INC,1991,,,,,,,,,,,
CUTTACK,Orissa, SRIKANTA JENA,JD,1991,,,,,,,,,,,
DEOGARH,Orissa, SRIBALLAV PANIGRAHI,INC,1991,,,,,,,,,,,
DHENKANAL ,Orissa,RAJA KAMAKHYA PRASAD SINGHDEO MAHINDR BAHADUR ,INC,1991,,,,,,,,,,,
JAGATSINGHPUR,Orissa, LOKNATH CHOUDHURY,CPI,1991,,,,,,,,,,,
JAJPUR (SC),Orissa, ANADI CHARAN DAS,JD,1991,,,,,,,,,,,
KALAHANDI,Orissa, SUBASH CHANDRA NAYAK,INC,1991,,,,,,,,,,,
KENDRAPARA,Orissa, RABI RAY,JD,1991,,,,,,,,,,,
