PC Name,State ,Winner,Party,Year,PC NO
 Sidhi  , Madhya Pradesh  , Govind Prasad Mishra  ,BJP,2009,11
 Shahdol  , Madhya Pradesh  , Rajesh Nandini Singh  ,INC  ,2009,12
 Jabalpur  , Madhya Pradesh  , Rakesh Singh  ,BJP,2009,13
 Mandla  , Madhya Pradesh  , Basori Singh Masram  ,INC  ,2009,14
 Balaghat  , Madhya Pradesh  , K. D. Deshmukh  ,BJP,2009,15
 Chhindwara  , Madhya Pradesh  , Kamal Nath  ,INC  ,2009,16
 Hoshangabad  , Madhya Pradesh  , Uday Pratap Singh  ,INC  ,2009,17
 Vidisha  , Madhya Pradesh  , Sushma Swaraj  ,BJP,2009,18
 Bhopal  , Madhya Pradesh  , Kailash Joshi  ,BJP,2009,19
 Rajgarh  , Madhya Pradesh  , Narayansingh Amlabe  ,INC  ,2009,20
 Dewas  , Madhya Pradesh  , Sajjan Singh Verma  ,INC  ,2009,21
 Ujjain  , Madhya Pradesh  , Guddu Premchand  ,INC  ,2009,22
 Mandsour  , Madhya Pradesh  , Meenakshi Natrajan  ,INC  ,2009,23
 Ratlam  , Madhya Pradesh  , Kantilal Bhuria  ,INC  ,2009,24
 Dhar  , Madhya Pradesh  , Gajendra Singh Rajukhedi  ,INC  ,2009,25
 Indore  , Madhya Pradesh  , Sumitra Mahajan (Tai)  ,BJP,2009,26
 Khargone  , Madhya Pradesh  , Makansingh Solanki (Babuji)  ,BJP,2009,27
 Khandwa  , Madhya Pradesh  , Arun Subhashchandra Yadav  ,INC  ,2009,28
 Betul  , Madhya Pradesh  , Jyoti Dhurve  ,BJP,2009,29
 Nandurbar  , Maharashtra  , Gavit Manikrao Hodlya  ,INC  ,2009,1
 Dhule  , Maharashtra  , Sonawane Pratap Narayanrao  ,BJP,2009,2
 Jalgaon  , Maharashtra  , A.T. Nana Patil  ,BJP,2009,3
 Raver  , Maharashtra  , Haribhau Madhav Jawale  ,BJP,2009,4
 Buldhana  , Maharashtra  , Jadhav Prataprao Ganpatrao  ,SHS,2009,5
 Akola  , Maharashtra  , Dhotre Sanjay Shamrao  ,BJP,2009,6
 Amravati  , Maharashtra  , Adsul Anandrao Vithoba  ,SHS,2009,7
 Wardha  , Maharashtra  , Datta Meghe  ,INC  ,2009,8
 Ramtek  , Maharashtra  , Wasnik Mukul Balkrishna  ,INC  ,2009,9
 Nagpur  , Maharashtra  , Muttemwar Vilasrao Baburaoji  ,INC  ,2009,10
 Bhandara - Gondiya  , Maharashtra  , Patel Praful Manoharbhai  ,NCP,2009,11
 Gadchiroli-Chimur  , Maharashtra  , Kowase Marotrao Sainuji  ,INC  ,2009,12
 Chandrapur  , Maharashtra  , Ahir Hansaraj Gangaram  ,BJP,2009,13
 Yavatmal-Washim  , Maharashtra  , Bhavana Gawali (Patil)  ,SHS,2009,14
