Constituency,State,MP,Party,Year
RAICHUR,Karnataka, B. V. DESAI,INC,1984
KOPPAL,Karnataka, H. G. RAMULU,INC,1984
BELLARY,Karnataka, BASAVARAJESWARI,INC,1984
DAVANGERE,Karnataka, CHANNAIAH ODEYAR,INC,1984
CHITRADURGA,Karnataka, K. H. RANGANATH,INC,1984
TUMKUR,Karnataka, G. S. BASAVARAJU,INC,1984
CHIKBALLAPUR,Karnataka, V. KRISHNA RAO,INC,1984
KOLAR (SC),Karnataka, V. VENKATESH,JNP,1984
KANAKAPURA,Karnataka, M. V. CHANDRASHEKARA MURTHY,INC,1984
BANGALORE NORTH,Karnataka, C. K. JAFFER SHARIEF,INC,1984
BANGALORE SOUTH,Karnataka, V. S. KRISHNA IYER,JNP,1984
MANDYA,Karnataka, K. V. SHANKARAGOWDA,JNP,1984
MYSORE,Karnataka, SRIKANTADATTA NARASIMHARAJA WADIYAR,INC,1984
MANGALORE,Karnataka, JANARDHANA POOJARY,INC,1984
HASSAN,Karnataka, H. N. NANJEGOWDA,INC,1984
CHIKMAGALUR,Karnataka, D. K. TARADEVI,INC,1984
SHIMOGA,Karnataka, T. V. CHANDRASHEKARAPPA,INC,1984
KANARA,Karnataka, G. DEVARAY NAIK,INC,1984
DHARWAD SOUTH,Karnataka, AZEEZ SAIT,INC,1984
DHARWAD NORTH,Karnataka, NAIKAR DYAMAPPA KALLAPPA,INC,1984
BELGAUM,Karnataka, SIDNAL SHANMUKHAPPA BASAPPA,INC,1984
CHIKKODI (SC),Karnataka, B. SHANKARANAD,INC,1984
BAGALKOT,Karnataka, PATIL HANMANTAGOUDA BHIMANAGOUDA,INC,1984
BIDAR (SC) ,Karnataka,NASING SURYAVANSI ,INC,1984
CHAMARAJANAGAR (SC) ,Karnataka,V. SREENIVASA PRASAD ,INC,1984
UDUPI ,Karnataka,OSCAR FERNANDES ,INC,1984
BIJAPUR ,Karnataka,GURADDI SHIVASHANKAREPPA MALLAPPA ,JNP,1984
