Constituency,State,MP,Party,Year,PC_NO,PC_TYPE,MONTH,CAND_SEX,TOTVOTPOLL
BROACH,Gujarat, PATEL AHMEDBHAI MOHAMMEDBHAI,INC(I),1980,,,,,
BULSAR (ST) ,Gujarat,PATEL UTTAMBHAI HARJIBHAI ,INC(I),1980,,,,,
CHHOTA UDAIPUR (ST) ,Gujarat,RATHAWA AMARSINGHBHAI VIRIYABHAI ,INC(I),1980,,,,,
DHANDHUKA (SC),Gujarat, MAKWANA NARSINHBHAI KARSANBHAI,INC(I),1980,,,,,
DOHAD (ST) ,Gujarat,DAMOR SOMJIBHAI PUNJABHAI ,INC(I),1980,,,,,
GANDHINAGAR,Gujarat, AMRIT MOHANAL PATEL,INC(I),1980,,,,,
GODHRA,Gujarat, MAHARAOL JAYDEEPSINHJI SUBHAGSINHJI,INC(I),1980,,,,,
JAMNAGAR,Gujarat, JADEJA DOLATSINHJI PRATAPSINHJI,INC(I),1980,,,,,
JUNAGADH,Gujarat, PATEL MOHANLAL LALJIBHAI,INC(I),1980,,,,,
KAIRA,Gujarat, AJITSINH FULSINHJI DABHI,INC(I),1980,,,,,
KAPADVANJ,Gujarat, SOLANKI NATAVARSINHJI KESARISINHJI,INC(I),1980,,,,,
KUTCH  ,Gujarat,MEHTA MAHIPATRAY MULSHANKER,INC(I),1980,,,,,
MANDVI (ST),Gujarat, GAMIT CHHITUBHAI DEVJIBHAI,INC(I),1980,,,,,
MEHSANA,Gujarat, CHAUDHARY MOTIBHAI RANCHHODBHAI,JNP,1980,,,,,
PATAN (SC),Gujarat, PARMAR HIRALAL RANCHHODDAS,INC(I),1980,,,,,
PORBANDAR,Gujarat, ODEDRA MALDEJI MANDLIKJI,INC(I),1980,,,,,
RAJKOT,Gujarat, MAVANI RAMJIBHAI BHURABHAI,INC(I),1980,,,,,
SABARKANTHA,Gujarat, PATEL SHANTUBHAI CUNIBHAI,INC(I),1980,,,,,
SURAT,Gujarat, PATEL CHHAGANBHAI DEVABHAI,INC(I),1980,,,,,
SURENDRANAGAR ,Gujarat,DIGVIJAYSINH PRATAPSINHG ZALA ,INC(I),1980,,,,,
AMBALA (SC) ,Haryana,SURAJ BHAN ,JNP,1980,,,,,
BHIWANI,Haryana, BANSI LAL,INC(I),1980,,,,,
FARIDABAD,Haryana, TAYYAB HUSSAIN,INC(I),1980,,,,,
HISSAR,Haryana, MANI RAM S/O HARJI RAM,JNP(S),1980,,,,,
KARNAL,Haryana, CHIRANJI LAL,INC(I),1980,,,,,
KURUKSHETRA,Haryana, MANOHAR LAL,JNP(S),1980,,,,,
MAHENDRAGARH,Haryana, BIRENDER SINGH,INC(I),1980,,,,,
ROHTAK,Haryana, INDER VESH,JNP(S),1980,,,,,
SIRSA (SC) ,Haryana,DALBIR SINGH ,INC(I),1980,,,,,
SONEPAT,Haryana, DEVI LAL,JNP(S),1980,,,,,
HAMIRPUR ,Himachal Pradesh,NARAIN CHAND ,INC(I),1980,,,,,
KANGRA,Himachal Pradesh,VIKRAM CHAND MAHAJAN,INC(I),1980,,,,,
MANDI,Himachal Pradesh,VIR BAHADUR SINGH,INC(I),1980,,,,,
SIMLA (SC) ,Himachal Pradesh,KRISHAN DUTT,INC(I),1980,,,,,
BAGALKOT,Karnataka, VEERENDRA PATIL,INC(I),1980,,,,,
BANGALORE NORTH,Karnataka, C.K. JAFFAR SHARIEF,INC(I),1980,,,,,
BANGALORE SOUTH,Karnataka, T.R. SHAMANNA,JNP,1980,,,,,
BELGAUM,Karnataka, SIDNAL SHANMUKHAPPA BASAPPA,INC(I),1980,,,,,
BELLARY,Karnataka, R.Y. GHORPADE,INC(I),1980,,,,,
BIDAR (SC) ,Karnataka,NARSING HULLA ,INC(I),1980,,,,,
BIJAPUR ,Karnataka,CHOUDHARI KALINGAPPA BHIMANNA,INC(I),1980,,,,,
CHAMARAJANAGAR (SC)  ,Karnataka,V. SREENIVASA PRASAD,INC(I),1980,,,,,
CHIKBALLAPUR,Karnataka, S.N. PRASAN KUMAR,INC(I),1980,,,,,
CHIKKODI (SC) ,Karnataka,B. SHANKARANAND ,INC(I),1980,,,,,
CHIKMAGALUR,Karnataka, D.M. PUTTEGOWDA,INC(I),1980,,,,,
CHITRADURGA,Karnataka, K. MALLANNA,INC(I),1980,,,,,
DAVANGERE,Karnataka, T.V. CHANDRASHEKHARAPPA,INC(I),1980,,,,,
DHARWAD NORTH,Karnataka, D.K. NAIKAR,INC(I),1980,,,,,
DHARWAD SOUTH,Karnataka, MOHSIN FAKRUDDINSAB HUSSENSAB,INC(I),1980,,,,,
GULBARGA,Karnataka,C.M.STEPHEN,INC(I),1980,,,,,
HASSAN,Karnataka, H.N. NANJEGOWDA,INC(I),1980,,,,,
KANAKAPURA,Karnataka, M.V. CHANDRASEKHARA MURTHY,INC(I),1980,,,,,
KANARA,Karnataka, NAIK DEVARAY G.,INC(I),1980,,,,,
KOLAR (SC),Karnataka, G.Y. KRISHNAN,INC(I),1980,,,,,
KOPPAL,Karnataka, H.G. RAMULU,INC(I),1980,,,,,
MANDYA,Karnataka, S.M. KRISHNA,INC(I),1980,,,,,
MANGALORE,Karnataka, JANARDHANA POOJARI,INC(I),1980,,,,,
MYSORE,Karnataka, M. RAJASHEKARAMURTHY,INC(I),1980,,,,,
RAICHUR,Karnataka, B.V. DESAI,INC(I),1980,,,,,
SHIMOGA,Karnataka, S.T. QUADRI,INC(I),1980,,,,,
TUMKUR,Karnataka, K. LAKKAPPA,INC(I),1980,,,,,
UDUPI ,Karnataka,OSCAR FERNANDES ,INC(I),1980,,,,,
ADOOR (SC),Kerala, P. K. KODIYAN,CPI,1980,,,,,
ALLEPPEY,Kerala, SUSEELA GOPALANA,CPM,1980,,,,,
BADAGARA,Kerala, K.P. UNNIKRISHNAN,INC(U),1980,,,,,
CALICUT,Kerala, E. K. IMBICHI BAVA,CPM,1980,,,,,
CANNANORE,Kerala, K. KUNHAMBU,INC(U),1980,,,,,
CHIRAYINKIL,Kerala, A. A. RAHIM,INC(I),1980,,,,,
ERNAKULAM,Kerala, XAVIER VARGHESE ARAKAL,INC(I),1980,,,,,
IDUKKI,Kerala, M.M. LAWRENCE,CPM,1980,,,,,
KASARAGOD ,Kerala,M. RAMANNA RAI ,CPM,1980,,,,,
KOTTAYAM,Kerala, SKARIA THOMAS,KEC,1980,,,,,
MANJERI,Kerala, EBRAHIM SULAIMAN SAIT,MUL,1980,,,,,
MAVELIKARA,Kerala, P. J. KURIEN,INC(U),1980,,,,,
MUKUNDAPURAM,Kerala, BALANANDAN,CPM,1980,,,,,
MUVATTUPUZHA,Kerala, GEORGE JOSEPH (BABY MUNDACKAL),IND,1980,,,,,
OTTAPALAM (SC),Kerala, A.K. BALAN,CPM,1980,,,,,
PALGHAT,Kerala, V.S. VIJAYA RAGHAVAN,INC(I),1980,,,,,
PONNANI,Kerala, BANATWALA GULAM MEHMOOD,MUL,1980,,,,,
QUILON,Kerala, B. K. NAIR,INC(I),1980,,,,,
TRICHUR,Kerala, K. A. RAJAN,CPM,1980,,,,,
TRIVANDRUM ,Kerala,A. NEELALOHITHADASAN NADAR ,INC(I),1980,,,,,
BALAGHAT,Madhya Pradesh, NANDKISHORE SHARMA,INC(I),1980,,,,,
BASTAR (ST),Madhya Pradesh, LAXMAN KARMA,INC(I),1980,,,,,
BETUL,Madhya Pradesh, GUFRAN AZAM,INC(I),1980,,,,,
BHIND,Madhya Pradesh, KALICHARAN SHARMA,INC(I),1980,,,,,
