Constituency,State,MP,Party,Year,PC_NO,PC_TYPE,MONTH,CAND_SEX,TOTVOTPOLL
Buldhana,MAHARASHTRA,Adsul Anandrao Vithoba,SHS,1999,18,SC,7,M,294922
Chandrapur,MAHARASHTRA,Puglia Nareshkumar Chunnalal,INC,1999,26,GEN,7,M,328522
Chimur,MAHARASHTRA,Diwathe Namdeo Harbaji,BJP,1999,25,GEN,7,M,300601
Dahanu,MAHARASHTRA,Adv Chintaman Wanaga,BJP,1999,11,ST,7,M,240866
Dhule,MAHARASHTRA,Ramdas Rupla Gavit,BJP,1999,14,ST,7,M,211904
Erandol,MAHARASHTRA,Annasaheb M K Patil,BJP,1999,16,GEN,7,M,297867
Hingoli,MAHARASHTRA,Mane Shivaji Gyanbarao,SHS,1999,29,GEN,7,M,297284
Ichalkaranji,MAHARASHTRA,Mane Nivedita Sambhajirao,NCP,1999,47,GEN,7,F,337657
Jalgaon,MAHARASHTRA,Y G Mahajan Sir,BJP,1999,17,GEN,7,M,334020
Jalna,MAHARASHTRA,Danve Raosaheb Dadarao Patil,BJP,1999,32,GEN,7,M,332620
Karad,MAHARASHTRA,Shriniwas Dadasaheb Patil (Marulkar),NCP,1999,45,GEN,7,M,350504
Khed,MAHARASHTRA,Ashok Namdeorao Mohol,NCP,1999,41,GEN,7,M,284476
Kolaba,MAHARASHTRA,Ramsheth Thakur,PWPI,1999,3,GEN,7,M,274361
Kolhapur,MAHARASHTRA,Mandlik Sadashivrao Dadoba,NCP,1999,48,GEN,7,M,346459
Kopargaon,MAHARASHTRA,E V Alias Balasaheb Vikhe Patil,SHS,1999,40,GEN,7,M,253498
Latur,MAHARASHTRA,Patil Shivraj Vishwanath,INC,1999,35,GEN,7,M,314213
Malegaon,MAHARASHTRA,Mahale Haribahu Shankar,JD(S),1999,13,ST,7,M,191643
Mumbai North,MAHARASHTRA,Ram Naik,BJP,1999,9,GEN,7,M,517941
Mumbai North Central,MAHARASHTRA,Manohar Gajanan Joshi,SHS,1999,6,GEN,7,M,294935
Mumbai North East,MAHARASHTRA,Kirit Somaiya,BJP,1999,7,GEN,7,M,400436
Mumbai North West,MAHARASHTRA,Sunil Dutt,INC,1999,8,GEN,7,M,366669
Mumbai South,MAHARASHTRA,Jayawanti Mehta,BJP,1999,4,GEN,7,F,144945
Mumbai South Central,MAHARASHTRA,Mohan Vishnu Rawale,SHS,1999,5,GEN,7,M,176323
Nagpur,MAHARASHTRA,Vilas Muttemwar,INC,1999,23,GEN,7,M,424450
Nanded,MAHARASHTRA,Khatgaonkar Bhaskarrao Bapurao,INC,1999,30,GEN,7,M,327293
Nandurbar,MAHARASHTRA,Gavit Manikrao Hodlya,INC,1999,15,ST,7,M,318338
Nashik,MAHARASHTRA,Dhikale Uttamrao Nathuji,SHS,1999,12,GEN,7,M,303084
Osmanabad,MAHARASHTRA,Kamble Shivaji Vithalrao,SHS,1999,36,SC,7,M,252135
Pandharpur,MAHARASHTRA,Athawale Ramdas Bandu,IND,1999,38,SC,7,M,413115
Parbhani,MAHARASHTRA,Jadhav Suresh Ramrao,SHS,1999,31,GEN,7,M,254019
Pune,MAHARASHTRA,Pradeep Rawat,BJP,1999,42,GEN,7,M,304955
Rajapur,MAHARASHTRA,Suresh Prabhakar Prabhu,SHS,1999,1,GEN,7,M,221523
Ramtek,MAHARASHTRA,Subodh Mohite,SHS,1999,22,GEN,7,M,242454
Ratnagiri,MAHARASHTRA,Anant Gangaram Geete,SHS,1999,2,GEN,7,M,293834
Sangli,MAHARASHTRA,Prakash (Bapu) Vasantrao Patil,INC,1999,46,GEN,7,M,381162
Satara,MAHARASHTRA,Laxmanrao Pandurang Jadhav Patil,NCP,1999,44,GEN,7,M,313325
Sholapur,MAHARASHTRA,Shinde Sushilkumar Sambhajirao,INC,1999,37,GEN,7,M,286578
Thane,MAHARASHTRA,Prakash Paranjpe,SHS,1999,10,GEN,7,M,391446
Wardha,MAHARASHTRA,Prabha Rao,INC,1999,27,GEN,7,F,249564
Washim,MAHARASHTRA,Bhawana Pundlikrao Gawali,SHS,1999,20,GEN,7,F,244820
Yavatmal,MAHARASHTRA,Uttamrao Deorao Patil,INC,1999,28,GEN,7,M,258535
Aska,ORISSA,Naveen Patnaik,BJD,1999,10,GEN,7,M,359178
Balasore,ORISSA,Mahameghabahan Aira Kharabela Swain,BJP,1999,2,GEN,7,M,428070
Berhampur,ORISSA,Anadicharan Sahu,BJP,1999,11,GEN,7,M,310704
Bhadrak,ORISSA,Arjun Charan Sethi,BJD,1999,3,SC,7,M,397450
Bhubaneswar,ORISSA,Prasanna Kumar Patasani,BJD,1999,9,GEN,7,M,414429
Bolangir,ORISSA,Sangeeta Kumari Singh Deo,BJP,1999,16,GEN,7,F,404988
Cuttack,ORISSA,Bhartruhari Mahtab,BJD,1999,6,GEN,7,M,407603
Deogarh,ORISSA,Debendra Pradhan,BJP,1999,18,GEN,7,M,376412
Dhenkanal,ORISSA,Kamakhya Prasad Singh Deo,INC,1999,19,GEN,7,M,248824
Jagatsinghpur,ORISSA,Trilochan Kanungo,BJD,1999,7,GEN,7,M,439888
Jajpur,ORISSA,Jagannath Mallik,BJD,1999,4,SC,7,M,351442
Kalahandi,ORISSA,Bikram Keshari Deo,BJP,1999,14,GEN,7,M,371911
Kendrapara,ORISSA,Prabhat Kumar Samantray,BJD,1999,5,GEN,7,M,359314
Keonjhar,ORISSA,Ananta Nayak,BJP,1999,21,ST,7,M,416956
Koraput,ORISSA,Hema Gamang,INC,1999,12,ST,7,F,277555
Mayurbhanj,ORISSA,Salkhan Murmu,BJP,1999,1,ST,7,M,300902
Nowrangpur,ORISSA,Parsuram Majhi,BJP,1999,13,ST,7,M,331863
Phulbani,ORISSA,Padmanava Behera,BJD,1999,15,SC,7,M,357024
Puri,ORISSA,Braja Kishore Tripathy,BJD,1999,8,GEN,7,M,383060
Sambalpur,ORISSA,Prasanna Acharya,BJD,1999,17,GEN,7,M,398597
Sundargarh,ORISSA,Jual Oram,BJP,1999,20,ST,7,M,326395
Amritsar,PUNJAB,Raghunandan Lal  Bhatia,INC,1999,2,GEN,7,M,296533
Bhatinda,PUNJAB,Bhan Singh Bhaura,CPI,1999,11,SC,7,M,327484
Faridkot,PUNJAB,Jagmeet Singh  Brar,INC,1999,12,GEN,7,M,418454
Ferozepur,PUNJAB,Zora Singh,SAD,1999,13,GEN,7,M,300236
Gurdaspur,PUNJAB,Vinod Khanna,BJP,1999,1,GEN,7,M,315267
Hoshiarpur,PUNJAB,Charanjit Singh Channi,INC,1999,6,GEN,7,M,256211
Jullundur,PUNJAB,Balbir Singh,INC,1999,4,GEN,7,M,267209
Ludhiana,PUNJAB,Gurcharan Singh Galib,INC,1999,9,GEN,7,M,346928
Patiala,PUNJAB,Preneet Kaur,INC,1999,8,GEN,7,F,360125
Phillaur,PUNJAB,Santosh  Chowdhary,INC,1999,5,SC,7,F,263540
Ropar,PUNJAB,Shamsher Singh,INC,1999,7,SC,7,M,326651
Sangrur,PUNJAB,Simranjit Singh Mann,SAD(M),1999,10,GEN,7,M,298846
Tarn Taran,PUNJAB,Tarlochan Singh  Tur,SAD,1999,3,GEN,7,M,305899
Ajmer,RAJASTHAN,Rasa Singh Rawat,BJP,1999,12,GEN,7,M,332130
Alwar,RAJASTHAN,Dr. Jaswant Singh Yadav,BJP,1999,8,GEN,7,M,325556
Banswara,RAJASTHAN,Tara Chand Bhagora,INC,1999,16,ST,7,M,379775
Barmer,RAJASTHAN,Col. Sonaram Choudhary,INC,1999,23,GEN,7,M,424150
Bayana,RAJASTHAN,Bahadur Singh,BJP,1999,10,SC,7,M,234881
Bharatpur,RAJASTHAN,Vishvendra Singh,BJP,1999,9,GEN,7,M,277460
Bhilwara,RAJASTHAN,Vijayendra Pal Singh,BJP,1999,20,GEN,7,M,287858
Bikaner,RAJASTHAN,Rameshwar Lal Dudi,INC,1999,2,GEN,7,M,493638
Chittorgarh,RAJASTHAN,Shrichand Kriplani,BJP,1999,19,GEN,7,M,411275
Churu,RAJASTHAN,Ram Singh Kaswan,BJP,1999,3,GEN,7,M,351485
Dausa,RAJASTHAN,Rajesh Pilot,INC,1999,7,GEN,7,M,372263
Ganganagar,RAJASTHAN,Nihal Chand,BJP,1999,1,SC,7,M,358104
Jaipur,RAJASTHAN,Girdhari Lal Bhargava,BJP,1999,6,GEN,7,M,456720
Jalore,RAJASTHAN,Buta Singh,INC,1999,22,SC,7,M,330652
Jhalawar,RAJASTHAN,Vansundhara Raje,BJP,1999,15,GEN,7,F,409574
Jhunjhunu,RAJASTHAN,Sisram Ola,INC,1999,4,GEN,7,M,330198
Jodhpur,RAJASTHAN,Jaswant Singh Vishnoi,BJP,1999,24,GEN,7,M,368463
Kota,RAJASTHAN,Raghuveer Singh Koushal,BJP,1999,14,GEN,7,M,320205
Nagaur,RAJASTHAN,Ram Raghunath Choudhary,INC,1999,25,GEN,7,M,267914
Pali,RAJASTHAN,Pusp Jain,BJP,1999,21,GEN,7,M,316844
Salumber,RAJASTHAN,Bheru Lal Meena,INC,1999,17,ST,7,M,290976
Sawai Madhopur,RAJASTHAN,Jaskaur,BJP,1999,11,ST,7,F,277014
Sikar,RAJASTHAN,Subhash Maharia,BJP,1999,5,GEN,7,M,341445
Tonk,RAJASTHAN,Shyam Lal Bansiwal,BJP,1999,13,SC,7,M,287265
Udaipur,RAJASTHAN,Girija Vyas,INC,1999,18,GEN,7,F,372645
Arakkonam,TAMIL NADU,"Jagathrakshakan, S. Dr.",DMK,1999,6,GEN,7,M,346520
Chengalpattu,TAMIL NADU,"Moorthy, A.K.",PMK,1999,5,GEN,7,M,330551
Chidambaram,TAMIL NADU,"Ponnuswamy, E.",PMK,1999,12,SC,7,M,345331
Coimbatore,TAMIL NADU,"Radhakrishnan, C.P.",BJP,1999,20,GEN,7,M,430068
Cuddalore,TAMIL NADU,"Sankar, Adhi",DMK,1999,11,GEN,7,M,358367
Dharmapuri,TAMIL NADU,"Elangovan, P.D.",PMK,1999,13,GEN,7,M,340162
Dindigul,TAMIL NADU,"Sreenivaasan, C.",ADMK,1999,23,GEN,7,M,294794
Gobichettipalayam,TAMIL NADU,"Kaliappan, K.K.",ADMK,1999,19,GEN,7,M,299184
Karur,TAMIL NADU,"Chinnasamy, M.",ADMK,1999,26,GEN,7,M,334407
Krishnagiri,TAMIL NADU,"Vetriselvan, V.",DMK,1999,14,GEN,7,M,347737
Madras Central,TAMIL NADU,Murasoli Maran,DMK,1999,2,GEN,7,M,364565
Madras North,TAMIL NADU,"Kuppusamy, C.",DMK,1999,1,GEN,7,M,471101
Madras South,TAMIL NADU,"Baalu, T.R.",DMK,1999,3,GEN,7,M,562221
Madurai,TAMIL NADU,"Mohan, P.",CPM,1999,24,GEN,7,M,328204
Mayiladuturai,TAMIL NADU,Manishankar Aiyar,INC,1999,29,GEN,7,M,324384
Nagapattinam,TAMIL NADU,"Vijayan, A.K.S.",DMK,1999,30,SC,7,M,342237
Nagercoil,TAMIL NADU,"Radhakrishnan,P.",BJP,1999,39,GEN,7,M,307319
Nilgiris,TAMIL NADU,"Mathan, M. (Alias) Master Mathan, M.",BJP,1999,18,GEN,7,M,369828
Palani,TAMIL NADU,"Kumarasamy, P.",ADMK,1999,22,GEN,7,M,297850
Perambalur,TAMIL NADU,Raja. A.,DMK,1999,28,SC,7,M,330675
Periyakulam,TAMIL NADU,"Dhinakaran,",ADMK,1999,25,GEN,7,M,303881
Pollachi,TAMIL NADU,"Krishnan, Dr.C.",MDMK,1999,21,SC,7,M,293038
Pudukkottai,TAMIL NADU,Thirunavukarasu,MADMK,1999,32,GEN,7,M,396216
Ramanathapuram,TAMIL NADU,Malaisamy.K.,ADMK,1999,34,GEN,7,M,265253
Rasipuram,TAMIL NADU,"Saroja, V. Dr.",ADMK,1999,15,SC,7,F,304843
Salem,TAMIL NADU,"Selvaganapathi, T.M.",ADMK,1999,16,GEN,7,M,363689
Sivaganga,TAMIL NADU,"Sudarsana Natchiappan,E.M.",INC,1999,33,GEN,7,M,246078
Sivakasi,TAMIL NADU,Vaiko,MDMK,1999,35,GEN,7,M,325829
Sriperumbudur,TAMIL NADU,"Krishnaswamy,   A.",DMK,1999,4,SC,7,M,385558
Tenkasi,TAMIL NADU,"Murugesan,S.",ADMK,1999,37,SC,7,M,239241
Thanjavur,TAMIL NADU,Palanimanickam.S.S.,DMK,1999,31,GEN,7,M,295191
Tindivanam,TAMIL NADU,Ramachandran N. Gingee.,MDMK,1999,10,GEN,7,M,323234
Tiruchendur,TAMIL NADU,"Jayaseelan, A.D.K.",DMK,1999,38,GEN,7,M,237630
Tiruchengode,TAMIL NADU,"Kannappan, M.",MDMK,1999,17,GEN,7,M,409293
Tiruchirappalli,TAMIL NADU,Arangarajan Kumaramangalam,BJP,1999,27,GEN,7,M,377450
Tirunelveli,TAMIL NADU,"Pandian, P.H.",ADMK,1999,36,GEN,7,M,249975
Tiruppattur,TAMIL NADU,"Venugopal, D.",DMK,1999,8,GEN,7,M,350703
Vandavasi,TAMIL NADU,"Durai, M.",PMK,1999,9,GEN,7,M,345539
Vellore,TAMIL NADU,"Shanmugam, N.T.",PMK,1999,7,GEN,7,M,324547
Agra,UTTAR PRADESH,Raj Babbar,SP,1999,73,GEN,7,M,288558
Akbarpur,UTTAR PRADESH,Mayawati,BSP,1999,27,SC,7,F,259762
Aligarh,UTTAR PRADESH,Sheela Gautam,BJP,1999,76,GEN,7,F,219313
Allahabad,UTTAR PRADESH,Dr. Murli Manohar Joshi,BJP,1999,56,GEN,7,M,219114
Almora,UTTAR PRADESH,Bachi Singh Rawat,BJP,1999,3,GEN,7,M,192388
Amethi,UTTAR PRADESH,Sonia Gandhi,INC,1999,25,GEN,7,F,418960
Amroha,UTTAR PRADESH,Rashid Alvi,BSP,1999,6,GEN,7,M,337919
Aonla,UTTAR PRADESH,Kunwar Sarvraj Singh,SP,1999,11,GEN,7,M,195839
Azamgarh,UTTAR PRADESH,Rama Kant Yadav,SP,1999,45,GEN,7,M,227616
Baghpat,UTTAR PRADESH,Ajit Singh,RLD,1999,81,GEN,7,M,358069
Bahraich,UTTAR PRADESH,Padamsen Chaudhary,BJP,1999,31,GEN,7,M,223768
Ballia,UTTAR PRADESH,Chandra Shekhar,SJP(R),1999,43,GEN,7,M,235946
Balrampur,UTTAR PRADESH,Rizvan Zaheer  Alias Rijju Bhaiya,SP,1999,32,GEN,7,M,255267
Banda,UTTAR PRADESH,Ram Sajiwan,BSP,1999,59,GEN,7,M,209995
Bansgaon,UTTAR PRADESH,Raj Narayan Pasi,BJP,1999,37,SC,7,M,184684
Bara Banki,UTTAR PRADESH,Ram Sagar,SP,1999,29,SC,7,M,210958
Bareilly,UTTAR PRADESH,Santosh Gangwar,BJP,1999,12,GEN,7,M,292813
Basti,UTTAR PRADESH,Shriram Chauhan,BJP,1999,34,SC,7,M,174378
Bijnor,UTTAR PRADESH,Sheeshram Singh Ravi,BJP,1999,5,SC,7,M,214266
Bilhaur,UTTAR PRADESH,Shyam Bihari Mishra,BJP,1999,64,GEN,7,M,192054
Budaun,UTTAR PRADESH,Saleem Iqbal Shervani,SP,1999,10,GEN,7,M,236496
Bulandshahr,UTTAR PRADESH,Chhatra Pal,BJP,1999,78,GEN,7,M,180102
Chail,UTTAR PRADESH,Suresh Pasi,BSP,1999,57,SC,7,M,151557
Chandauli,UTTAR PRADESH,Jawahar Lal Jaiswal,SP,1999,51,GEN,7,M,265412
Deoria,UTTAR PRADESH,Shri Prakash Mani,BJP,1999,41,GEN,7,M,251814
Domariaganj,UTTAR PRADESH,Ram Pal Singh,BJP,1999,35,GEN,7,M,198263
Etah,UTTAR PRADESH,Kr. Devendra Singh Yadav,SP,1999,71,GEN,7,M,226999
Etawah,UTTAR PRADESH,Raghuraj Singh Shakya,SP,1999,66,GEN,7,M,233065
Faizabad,UTTAR PRADESH,Vinay Katiyar,BJP,1999,28,GEN,7,M,193191
Farrukhabad,UTTAR PRADESH,Chandra Bhushan Singh (Munnoo Babu),SP,1999,68,GEN,7,M,222984
Fatehpur,UTTAR PRADESH,Ashok Patel,BJP,1999,58,GEN,7,M,142911
Firozabad,UTTAR PRADESH,Ram Jilal Suman,SP,1999,72,SC,7,M,289459
Garhwal,UTTAR PRADESH,Maj Gen. (Rtd) Bhuwan Chandra Khanduri(A.V.S.M.),BJP,1999,2,GEN,7,M,239745
Ghatampur,UTTAR PRADESH,Pyare Lal Sankhwar,BSP,1999,63,SC,7,M,156582
Ghazipur,UTTAR PRADESH,Manoj,BJP,1999,50,GEN,7,M,240592
Ghosi,UTTAR PRADESH,Bal Krishna,BSP,1999,44,GEN,7,M,207105
Gonda,UTTAR PRADESH,Braj Bhushan Sharan Singh,BJP,1999,33,GEN,7,M,243162
Gorakhpur,UTTAR PRADESH,Aditya Nath,BJP,1999,38,GEN,7,M,267382
Hamirpur,UTTAR PRADESH,Ashok Kumar Singh Chandel,BSP,1999,60,GEN,7,M,217732
Hapur,UTTAR PRADESH,Ramesh Chand Tomar,BJP,1999,79,GEN,7,M,234525
Hardoi,UTTAR PRADESH,Jai Prakash,ABLTC,1999,19,SC,7,M,206256
Hardwar,UTTAR PRADESH,Harpal Singh Sathi,BJP,1999,85,SC,7,M,236844
Hathras,UTTAR PRADESH,Kishan Lal Diler,BJP,1999,75,SC,7,M,178253
Jalaun,UTTAR PRADESH,Brij Lal Khabri,BSP,1999,62,SC,7,M,197705
Jalesar,UTTAR PRADESH,Prof. S.P. Singh Baghel,SP,1999,70,GEN,7,M,217336
Jaunpur,UTTAR PRADESH,Chinmayanand,BJP,1999,48,GEN,7,M,207405
Jhansi,UTTAR PRADESH,Sujan Singh Bundela,INC,1999,61,GEN,7,M,283387
Kairana,UTTAR PRADESH,Amir Alam,RLD,1999,83,GEN,7,M,206345
Kaiserganj,UTTAR PRADESH,Beni Prasad Verma,SP,1999,30,GEN,7,M,233934
Kannauj,UTTAR PRADESH,Mulayam Singh Yadav,SP,1999,67,GEN,7,M,291617
Kanpur,UTTAR PRADESH,Sriprakash Jaiswal,INC,1999,65,GEN,7,M,293610
Khalilabad,UTTAR PRADESH,Bhal Chandra Yadav,SP,1999,36,GEN,7,M,236837
Kheri,UTTAR PRADESH,Ravi Prakash Verma,SP,1999,15,GEN,7,M,202373
Khurja,UTTAR PRADESH,Ashok Kumar Pradhan,BJP,1999,77,SC,7,M,216011
Lalganj,UTTAR PRADESH,Dr. Bali Ram,BSP,1999,46,SC,7,M,229122
Lucknow,UTTAR PRADESH,Atal Bihari Vajpayee,BJP,1999,20,GEN,7,M,362709
Machhlishahr,UTTAR PRADESH,Chandra Nath Singh,SP,1999,47,GEN,7,M,201509
Maharajganj,UTTAR PRADESH,Akhilesh  Singh,SP,1999,39,GEN,7,M,239826
Mainpuri,UTTAR PRADESH,Balram Singh Yadav,SP,1999,69,GEN,7,M,244113
Mathura,UTTAR PRADESH,Ch. Tejvir Singh,BJP,1999,74,GEN,7,M,210212
Meerut,UTTAR PRADESH,Avtar Singh Bhadana,INC,1999,80,GEN,7,M,258456
Mirzapur,UTTAR PRADESH,Phoolan Devi,SP,1999,54,GEN,7,F,290849
Misrikh,UTTAR PRADESH,Sushila Saroj,SP,1999,18,SC,7,F,159279
Mohanlalganj,UTTAR PRADESH,Reena Chowdhary,SP,1999,21,SC,7,F,182034
Moradabad,UTTAR PRADESH,Chandra Vijay Singh Alias Baby Raja,ABLTC,1999,7,GEN,7,M,253321
Muzaffarnagar,UTTAR PRADESH,Saiduzzaman,INC,1999,82,GEN,7,M,196669
Nainital,UTTAR PRADESH,Narayan Datt Tiwari,INC,1999,4,GEN,7,M,350381
Padrauna,UTTAR PRADESH,Ram Nagina Mishra,BJP,1999,40,GEN,7,M,196651
Phulpur,UTTAR PRADESH,Dharam Raj Singh Patel,SP,1999,55,GEN,7,M,183282
Pilibhit,UTTAR PRADESH,Maneka Gandhi,IND,1999,13,GEN,7,F,433421
Pratapgarh,UTTAR PRADESH,Rajkumari Ratna Singh,INC,1999,24,GEN,7,F,202170
Rae Bareli,UTTAR PRADESH,Captain Satish Sharma,INC,1999,23,GEN,7,M,224202
Rampur,UTTAR PRADESH,Begum Noor Bano Urf Mahtab Zamani Begum,INC,1999,8,GEN,7,F,338493
Robertsganj,UTTAR PRADESH,Ram Shakal,BJP,1999,53,SC,7,M,200826
Saharanpur,UTTAR PRADESH,Mansoor Ali Khan,BSP,1999,84,GEN,7,M,235659
Saidpur,UTTAR PRADESH,Tufani Saroj,SP,1999,49,SC,7,M,237438
Salempur,UTTAR PRADESH,Babban Rajbhar,BSP,1999,42,GEN,7,M,170558
Sambhal,UTTAR PRADESH,Mulayam Singh Yadav,SP,1999,9,GEN,7,M,259430
Shahabad,UTTAR PRADESH,Daud Ahmad,BSP,1999,16,GEN,7,M,214146
Shahjahanpur,UTTAR PRADESH,Kr. Jitendra Prasad,INC,1999,14,GEN,7,M,207167
Sitapur,UTTAR PRADESH,Rajesh Verma,BSP,1999,17,GEN,7,M,211120
Sultanpur,UTTAR PRADESH,Jai Bhadra Singh,BSP,1999,26,GEN,7,M,173558
Tehri Garhwal,UTTAR PRADESH,Manabendra Shah,BJP,1999,1,GEN,7,M,207839
Unnao,UTTAR PRADESH,Deepak Kumar,SP,1999,22,GEN,7,M,207242
Varanasi,UTTAR PRADESH,Shankar Prasad Jaiswal,BJP,1999,52,GEN,7,M,211955
Alipurduars,WEST BENGAL,Joachim Baxla,RSP,1999,2,ST,7,M,389919
Arambagh,WEST BENGAL,Anil Basu,CPM,1999,28,GEN,7,M,503920
Asansol,WEST BENGAL,Bikash Chowdhury,CPM,1999,38,GEN,7,M,377265
Balurghat,WEST BENGAL,Barman Ranen,RSP,1999,6,SC,7,M,375669
Bankura,WEST BENGAL,Acharia Basudeb,CPM,1999,35,GEN,7,M,381720
Barasat,WEST BENGAL,Dr.Ranjit Kumar Panja,AITC,1999,13,GEN,7,M,518520
Barrackpore,WEST BENGAL,Tarit Baran Topdar,CPM,1999,19,GEN,7,M,399269
Basirhat,WEST BENGAL,Ajoy Chakraborty,CPI,1999,14,GEN,7,M,407903
Berhampore,WEST BENGAL,Adhir Ranjan Chowdhury,INC,1999,10,GEN,7,M,434073
Birbhum,WEST BENGAL,Ram Chandra Dome,CPM,1999,42,SC,7,M,373687
Bolpur,WEST BENGAL,Somnath Chatterjee,CPM,1999,41,GEN,7,M,464199
Burdwan,WEST BENGAL,Sar Nikhilananda,CPM,1999,39,GEN,7,M,598170
Calcutta North East,WEST BENGAL,Ajit Kumar Panja,AITC,1999,22,GEN,7,M,297491
Calcutta North West,WEST BENGAL,Sudip Bandyopadhyay,AITC,1999,21,GEN,7,M,206684
Calcutta South,WEST BENGAL,Mamata Banerjee,AITC,1999,23,GEN,7,F,469103
Contai,WEST BENGAL,Neetish  Sengupta,AITC,1999,31,GEN,7,M,395048
Cooch Behar,WEST BENGAL,Amar Roy Pradhan,FBL,1999,1,SC,7,M,443148
Darjeeling,WEST BENGAL,S.P. Lepcha,CPM,1999,4,GEN,7,M,256826
Diamond Harbour,WEST BENGAL,Samik Lahiri,CPM,1999,17,GEN,7,M,402761
Dum Dum,WEST BENGAL,Tapan Sikdar,BJP,1999,20,GEN,7,M,614471
Durgapur,WEST BENGAL,Sunil Khan,CPM,1999,37,SC,7,M,461940
Hooghly,WEST BENGAL,Rupchand Pal,CPM,1999,27,GEN,7,M,440674
Howrah,WEST BENGAL,Swadesh Chakraborty,CPM,1999,24,GEN,7,M,490537
Jadavpur,WEST BENGAL,Krishna Bose,AITC,1999,18,GEN,7,F,485366
Jalpaiguri,WEST BENGAL,Minati Sen,CPM,1999,3,GEN,7,F,405785
Jangipur,WEST BENGAL,Abul Hasnat Khan,CPM,1999,8,GEN,7,M,352580
Jhargram,WEST BENGAL,Rupchand Murmu,CPM,1999,33,ST,7,M,402325
Joynagar,WEST BENGAL,Sanat Kumar Mondal,RSP,1999,15,SC,7,M,396383
Katwa,WEST BENGAL,Mahboob Zahedi,CPM,1999,40,GEN,7,M,461502
Krishnagar,WEST BENGAL,Satyabrata Mookherjee,BJP,1999,11,GEN,7,M,366954
Malda,WEST BENGAL,Abul Barkat Ataul Ghani Khan Choudhury,INC,1999,7,GEN,7,M,325833
Mathurapur,WEST BENGAL,Radhika Ranjan Pramanik,CPM,1999,16,SC,7,M,382962
Midnapore,WEST BENGAL,Indrajit Gupta,CPI,1999,32,GEN,7,M,414545
Murshidabad,WEST BENGAL,Moinul Hassan,CPM,1999,9,GEN,7,M,391366
Nabadwip,WEST BENGAL,Ananda Mohan Biswas,AITC,1999,12,SC,7,M,459319
Panskura,WEST BENGAL,Gita Mukherjee,CPI,1999,29,GEN,7,F,401431
Purulia,WEST BENGAL,Birsingh Mahato,FBL,1999,34,GEN,7,M,351143
Raiganj,WEST BENGAL,Priya Ranjan Dasmunsi,INC,1999,5,GEN,7,M,409331
Serampore,WEST BENGAL,Akbor Ali Khandoker,AITC,1999,26,GEN,7,M,411406
Tamluk,WEST BENGAL,Lakshman Chandra Seth,CPM,1999,30,GEN,7,M,455168
Uluberia,WEST BENGAL,Hannan Mollah,CPM,1999,25,GEN,7,M,399397
Vishnupur,WEST BENGAL,Sandhya Bauri,CPM,1999,36,SC,7,F,483084
Adilabad,ANDHRA,Dr. S. Venugopal Chary,TDP,2000,35,GEN,7,M,390308
Amalapuram,ANDHRA,Ganti Mohanachandra Balayogi,TDP,2000,9,SC,7,M,368476
Anakapalli,ANDHRA,Ganta Srinivasa Rao,TDP,2000,6,GEN,7,M,392984
Anantapur,ANDHRA,Kalava Srinivasulu,TDP,2000,25,GEN,7,M,378488
Bapatla,ANDHRA,D. Rama Naidu,TDP,2000,16,GEN,7,M,399596
Bhadrachalam,ANDHRA,Dumpa Mary Vijaya Kumari,TDP,2000,5,ST,7,F,293593
Bobbili,ANDHRA,Botcha Satyanarayana,INC,2000,3,GEN,7,M,339768
Chittoor,ANDHRA,Noothana Kalva Ramakrishna Reddy,TDP,2000,21,GEN,7,M,419208
Cuddapah,ANDHRA,Vivekananda Reddy  Y.S.,INC,2000,23,GEN,7,M,367833
Eluru,ANDHRA,Bolla Bulli Ramaiah,TDP,2000,11,GEN,7,M,435884
Guntur,ANDHRA,Yemparala Venkateswararao,TDP,2000,15,GEN,7,M,399065
Hanamkonda,ANDHRA,Chada Suresh Reddy,TDP,2000,38,GEN,7,M,375285
Hindupur,ANDHRA,B.K. Parthasarathi,TDP,2000,24,GEN,7,M,432575
Hyderabad,ANDHRA,Sultan Salahuddin Owaisi,AIMIM,2000,30,GEN,7,M,448165
Kakinada,ANDHRA,Mudragada Padmanabham,TDP,2000,7,GEN,7,M,435811
Karimnagar,ANDHRA,Chennamaneni Vidyasagar Rao,BJP,2000,37,GEN,7,M,398437
Khammam,ANDHRA,Renuka Chowdhury,INC,2000,40,GEN,7,F,328596
Kurnool,ANDHRA,Kambhalapati E. Krishna Murthy,TDP,2000,26,GEN,7,M,385688
Machilipatnam,ANDHRA,Ambati Brahmanaiah,TDP,2000,12,GEN,7,M,387533
Mahabubnagar,ANDHRA,A.P.Jitender Reddy,BJP,2000,29,GEN,7,M,391588
Medak,ANDHRA,A. Narendra,BJP,2000,33,GEN,7,M,400244
Miryalguda,ANDHRA,Jaipal Reddy Sudini,INC,2000,42,GEN,7,M,401437
Nagarkurnool,ANDHRA,Dr.Manda Jagannath,TDP,2000,28,SC,7,M,431095
Nalgonda,ANDHRA,Gutha Sukender Reddy,TDP,2000,41,GEN,7,M,427505
Nandyal,ANDHRA,Bhuma  Nagi Reddy,TDP,2000,27,GEN,7,M,391655
Narasapur,ANDHRA,Uppalapati Venkata Krishnam Raju,BJP,2000,10,GEN,7,M,421099
